,Language,,,Literacy,,,Numeracy,,,Physical,,,Creative,,,Personal,,
DistrictName,Performance_Level_1,Performance_Level_2,Performance_Level_3,Performance_Level_1,Performance_Level_2,Performance_Level_3,Performance_Level_1,Performance_Level_2,Performance_Level_3,Performance_Level_1,Performance_Level_2,Performance_Level_3,Performance_Level_1,Performance_Level_2,Performance_Level_3,Performance_Level_1,Performance_Level_2,Performance_Level_3
Stratford School District,15.0,44.1,40.9,17.7,37.6,44.7,14.2,41.7,44.1,6.9,35.4,57.7,7.5,39.8,52.6,12.6,42.9,44.5
Suffield School District,4.5,39.1,56.4,17.3,44.4,38.3,3.8,39.8,56.4,5.3,34.6,60.2,0.0,23.3,76.7,3.0,36.8,60.2
Thomaston School District,12.5,42.9,44.6,23.2,37.5,39.3,14.3,35.7,50.0,3.6,30.4,66.1,3.6,26.8,69.6,5.4,30.4,64.3
Thompson School District,32.3,56.5,11.3,38.7,41.9,19.4,38.7,53.2,8.1,16.1,66.1,17.7,16.1,66.1,17.7,29.0,51.6,19.4
Tolland School District,16.9,62.7,20.4,19.7,50.0,30.3,15.5,52.1,32.4,18.3,59.2,22.5,19.7,54.2,26.1,10.6,72.5,16.9
Torrington School District,33.3,35.4,31.3,44.3,29.9,25.8,37.4,32.2,30.4,23.2,34.2,42.6,23.5,36.5,40.0,29.6,35.9,34.5
Trumbull School District,21.2,45.7,33.1,18.3,46.3,35.4,10.7,50.7,38.6,5.3,46.8,47.9,5.9,42.5,51.6,16.7,46.8,36.5
Union School District,12.5,37.5,50.0,25.0,12.5,62.5,37.5,37.5,25.0,12.5,62.5,25.0,0.0,12.5,87.5,12.5,12.5,75.0
Vernon School District,17.6,32.0,50.4,20.7,34.0,45.3,15.6,33.2,51.2,12.5,31.3,56.3,8.2,34.0,57.8,13.7,33.2,53.1
Voluntown School District,0.0,16.0,84.0,4.0,8.0,88.0,0.0,4.0,96.0,0.0,20.0,80.0,0.0,12.0,88.0,0.0,12.0,88.0
Wallingford School District,23.1,38.3,38.6,18.7,38.9,42.4,16.4,39.2,44.4,5.8,36.0,58.2,6.1,39.5,54.5,12.7,46.1,41.2
Waterbury School District,32.6,45.5,21.9,34.4,43.5,22.0,32.0,45.0,23.0,19.5,48.3,32.1,21.1,47.7,31.2,24.5,47.2,28.3
Waterford School District,18.1,31.5,50.4,18.1,37.0,44.9,11.0,39.4,49.6,4.7,40.2,55.1,5.5,38.6,55.9,11.0,38.6,50.4
Watertown School District,9.6,52.5,37.9,16.4,48.0,35.6,11.9,41.2,46.9,9.0,44.6,46.3,6.2,46.3,47.5,7.3,54.2,38.4
Westbrook School District,14.9,29.8,55.3,14.9,29.8,55.3,10.6,21.3,68.1,6.4,17.0,76.6,0.0,34.0,66.0,6.4,25.5,68.1
West Hartford School District,16.8,41.9,41.3,19.3,39.0,41.8,15.8,43.9,40.3,8.8,43.9,47.3,9.1,44.5,46.4,14.3,46.6,39.1
West Haven School District,34.9,41.6,23.6,35.6,39.3,25.1,31.1,42.4,26.4,10.7,54.7,34.7,10.9,52.7,36.4,20.4,50.4,29.1
Weston School District,15.9,49.2,34.8,18.9,49.2,31.8,12.9,56.8,30.3,5.3,34.1,60.6,4.5,46.2,49.2,12.1,49.2,38.6
Westport School District,20.1,49.3,30.6,18.2,52.1,29.8,17.1,53.2,29.8,9.6,54.3,36.1,9.6,47.1,43.3,23.4,51.2,25.3
Wethersfield School District,19.4,50.4,30.2,18.3,51.6,30.2,11.9,62.3,25.8,5.2,42.9,52.0,8.3,36.5,55.2,12.3,55.2,32.5
Willington School District,17.1,65.9,17.1,22.0,53.7,24.4,12.2,63.4,24.4,14.6,58.5,26.8,2.4,56.1,41.5,34.1,31.7,34.1
Wilton School District,2.5,22.3,75.2,1.2,18.6,80.2,1.2,17.8,81.0,0.4,17.4,82.2,1.2,16.1,82.6,2.5,19.0,78.5
Winchester School District,40.4,34.0,25.5,38.3,36.2,25.5,33.0,41.5,25.5,18.1,38.3,43.6,14.9,37.2,47.9,29.8,38.3,31.9
Windham School District,32.5,36.0,31.5,30.8,37.4,31.8,32.2,35.7,32.2,7.7,38.1,54.2,12.9,47.2,39.9,22.7,42.3,35.0
Windsor School District,23.1,35.1,41.8,28.4,40.4,31.3,19.7,33.2,47.1,10.6,42.3,47.1,7.7,32.2,60.1,13.9,47.1,38.9
Windsor Locks School District,5.5,53.2,41.3,18.3,50.5,31.2,18.3,51.4,30.3,5.5,40.4,54.1,0.9,64.2,34.9,11.9,55.0,33.0
Wolcott School District,29.1,30.7,40.2,26.8,26.0,47.2,20.5,27.6,52.0,14.2,39.4,46.5,6.3,44.1,49.6,13.4,44.1,42.5
Woodbridge School District,31.0,59.5,9.5,29.8,52.4,17.9,27.4,56.0,16.7,14.3,76.2,9.5,25.0,66.7,8.3,31.0,64.3,4.8
Woodstock School District,22.5,41.3,36.3,20.0,35.0,45.0,17.5,27.5,55.0,13.8,27.5,58.8,7.5,33.8,58.8,13.8,31.3,55.0
Regional School District 01,18.8,32.5,48.8,18.8,30.0,51.3,12.5,33.8,53.8,6.3,38.8,55.0,6.3,32.5,61.3,6.3,36.3,57.5
